name|addr|phone|delivery|king|night|breakfast|parking|dt|lng|lat
차병원사거리점|서울특별시 강남구 봉은사로 179 |02-540-0332|1|1|0|1|0|0|127.033395973437|37.5074604391987
강남도곡점|서울특별시 강남구 논현로 172 (도곡동 410-10) 1층 |070-7462-6846|1|1|0|0|0|0|127.041962306209|37.4849548856263
약수역점|서울특별시 중구 다산로 142 |070-7438-8605|1|1|0|0|0|0|127.011753862419|37.5562755068924
청담점|서울특별시 강남구 선릉로 812 |02-3446-7816|1|1|1|1|0|0|127.039724864606|37.5243049058338
수서점|서울특별시 강남구 광평로 280 |02-3412-1557|1|1|0|1|0|0|127.103108072457|37.4873191631489
강남구청점|서울특별시 강남구 선릉로 639 |02-512-5750|1|1|0|0|0|0|127.042319881338|37.5135115182201
강남교보점|서울특별시 서초구 사평대로 371 |02-517-0236 |1|1|1|1|0|0|127.023590349784|37.5045712985968
우장산역점|서울특별시 강서구 강서로 289 |02-2664-0233|1|1|0|0|0|0|126.835972295846|37.5516055446411
학동역점|서울특별시 강남구 학동로 171 |02-543-0332|1|1|0|0|0|0|127.029550652058|37.5140467250769
석관점|서울특별시 성북구 돌곶이로 50 |070-5138-3074|1|1|0|0|0|0|127.059619418105|37.6085883933192
장안SK점|서울특별시 동대문구 한천로 100 |070-7438-8236|1|1|1|1|0|1|127.064994661697|37.5701668831791
신당역점|서울특별시 중구 다산로 258 |02-2253-0332|1|1|1|1|0|0|127.016623843671|37.5657948536437
신림역점|서울특별시 관악구 신림로 318 |02-3285-0332 |1|1|1|1|0|0|126.930252917369|37.4825754320038
연신내역점|서울특별시 은평구 통일로 834 |02-355-0340 |1|1|1|1|0|0|126.922656566282|37.6181229111387
건대역점|서울특별시 광진구 아차산로 272 |070-7462-8511|1|1|0|0|0|0|127.072996184863|37.5385582736952
동국대점|서울특별시 중구 필동로1길 30 |02-2277-3006|0|1|0|0|0|0|126.998737605491|37.5589366401553
홍제역점|서울특별시 서대문구 통일로 464 |02-391-0332|1|1|0|0|0|0|126.943219061658|37.5899629791299
교대역점|서울특별시 서초구 서초대로 283 |02-596-0332|1|1|0|1|0|0|127.01269448384|37.493678364798
영등포KT점|서울특별시 영등포구 영중로 119 |02-2675-0332|1|1|0|0|0|0|126.905176591009|37.526848314445
가재울뉴타운점|서울특별시 서대문구 수색로 56 |02-303-0392|1|1|0|0|0|0|126.912707653517|37.5708136519192
구로구청점|서울특별시 구로구 가마산로 250 |02-856-0332|1|1|0|0|0|0|126.888676526029|37.4948140331034
마곡점|서울특별시 강서구 마곡동로 56 |070-7462-6739|1|1|0|0|0|0|126.833803408762|37.559977905954
공덕역점|서울특별시 마포구 마포대로 144 |02-701-8355|1|1|0|1|0|0|126.953756813538|37.5470013514751
서교동사거리점|서울특별시 마포구 양화로 100 |02-322-3199|1|1|0|0|0|0|126.918683968423|37.5527040168222
안암오거리점|서울특별시 성북구 안암로 73 |02-922-0332|1|1|0|0|0|0|127.029121644742|37.5830403543572
미아역점|서울특별시 강북구 도봉로 188 |02-988-0332|1|1|1|1|0|0|127.026797556758|37.6256368354165
신월점|서울특별시 양천구 화곡로 64 |070-7462-6708|1|1|0|0|0|0|126.828956294663|37.5390578401501
종암점|서울특별시 성북구 종암로 123 |070-7462-6709|1|1|0|0|0|0|127.033166191324|37.6010132669533
상암점|서울특별시 마포구 월드컵북로 344 |070-7462-6718|1|1|0|0|0|0|126.893889591525|37.5765055871542
박석고개SK점|서울특별시 은평구 통일로 945 |070-7462-6723|1|1|0|0|0|1|126.919398367026|37.6272854815736
혜화역점|서울특별시 종로구 동숭길 148 |070-7462-6726|1|1|0|0|0|0|127.002150195429|37.5835250574592
먹골역점|서울특별시 중랑구 동일로 890 |070-7462-6725|1|1|0|0|0|0|127.078189221962|37.6099151597192
공릉역점|서울특별시 노원구 동일로 1085 |070-7438-8217|1|1|1|1|0|0|127.072106149743|37.626698760512
거여역점|서울특별시 송파구 오금로 519 |070-7438-8219|1|1|0|0|0|0|127.14651816376|37.4930969613738
황학이마트점|서울특별시 중구 청계천로 400 |02-2256-0231|0|1|0|0|0|0|127.021463886656|37.5708105464699
낙성대점|서울특별시 관악구 남부순환로 1934 |070-7438-8235|1|1|0|0|0|0|126.963735538331|37.4766373051657
가산이앤씨7점|서울특별시 금천구 디지털로9길 46 |070-7438-8601|1|1|0|1|0|0|126.887100662443|37.4800588086696
숭례문점|서울특별시 중구 세종대로 23 |02-777-8801|0|0|0|0|0|0|126.973844589811|37.5590909738298
개봉점|서울특별시 구로구 개봉로 55 |070-7438-8623|1|1|0|0|0|0|126.855708578139|37.4905756220475
왕십리센트라스점|서울특별시 성동구 왕십리로 410 |070-7438-8625|1|1|0|0|0|0|127.02408246322|37.566590498762
군자능동점|서울특별시 광진구 능동로 245 |070-7462-6703|1|1|0|0|0|0|127.076537319859|37.5522322050293
신설동역점|서울특별시 동대문구 보문로 6 |070-7462-6775|1|1|0|0|0|0|127.023530607859|37.5761363837871
반포고속터미널점|서울특별시 서초구 신반포로 194 |02-534-0332|1|1|0|0|0|0|127.006834366246|37.5064357442307
문정역점|서울특별시 송파구 법원로 8길 13 |070-7462-6747|1|1|0|0|0|0|127.122304167596|37.4845525070838
금천독산FS점|서울특별시 금천구 시흥대로 388 |070-7462-6760|1|1|0|0|0|0|126.898354721526|37.4681196551816
둔촌GS FS점|서울특별시 강동구 양재대로 1323 |070-7462-6767|1|1|0|0|0|0|127.134421461173|37.5245352149831
청담주성점|서울특별시 강남구 청담동 영동대로 716 |02-544-9762|1|1|0|0|0|1|127.056680709065|37.521943936469
강남대로점|서울특별시 강남구 강남대로 406 |02-566-0332|1|1|0|1|0|0|127.027622767131|37.4989401291583
관악롯데점|서울특별시 관악구 보라매로3길 31 |070-7462-8516|0|0|0|0|0|0|126.925029940963|37.4907379784252
가산디지털점|서울특별시 금천구 가산디지털1로 168 |02-853-0332 |1|1|0|0|0|0|126.88263620024|37.479966429878
가산현대시티아울렛점|서울특별시 금천구 디지털로10길 9 |02-2136-9962|0|0|0|0|0|0|126.88905533739|37.4776190161713
가양이마트점|서울특별시 강서구 양천로 559 |02-3664-0221|0|1|0|0|0|0|126.861817646457|37.558194814626
방배카페골목|서울특별시 서초구 방배중앙로 200 |02-599-9940|1|1|0|0|0|0|126.985631855151|37.4970248728691
시청역점|서울특별시 중구 서소문로 136 |02-777-0332|1|1|0|0|0|0|126.97604290682|37.5635491216557
종합운동장사거리점|서울특별시 송파구 올림픽로 76 |070-7462-6856|1|1|0|0|0|0|127.079181383259|37.5115603565131
목동이마트점|서울특별시 양천구 오목로 299 |02-2654-0332|0|1|0|0|0|0|126.87035534357|37.5260837006075
목동현대점|서울특별시 양천구 목동동로 257 |070-7462-8564|0|0|0|0|0|0|126.874691181758|37.5271978737652
서여의도점|서울특별시 영등포구 국회대로70길 23 |02-780-0993|1|1|0|1|0|0|126.921011762639|37.5288760479466
서울역점|서울특별시 용산구 한강대로 405 |02-392-2895|0|1|0|1|0|0|126.971732581232|37.5548375992165
송파구청점|서울특별시 송파구 오금로 99 |02-419-0332|1|1|0|0|0|0|127.107839492295|37.5134170729898
연희점|서울특별시 서대문구 연희로 97 |02-3144-6633|1|1|0|0|0|0|126.930516521058|37.5668038837366
용산이마트점|서울특별시 용산구 한강대로23길 55 |02-793-0331|0|1|0|0|0|0|126.964741503485|37.5297718014452
고대중앙광장점|서울특별시 성북구 안암로 145 |070-7462-8772|0|1|0|0|0|0|127.031698331241|37.5887034223667
대치점|서울특별시 강남구 도곡로 447 |02-556-8595|1|1|0|0|0|0|127.059315262317|37.4986941157594
양재점|서울특별시 서초구 강남대로 221 |02-577-0407|1|1|0|1|0|0|127.034117823374|37.4836850972087
신대방삼거리역점|서울특별시 동작구 상도로 83 |070-7462-6791|1|1|0|0|0|0|126.929876950722|37.4999054539561
위례신도시GS점|서울특별시 송파구 위례중앙로43 GS주유소 내 |070-7462-6773|1|1|0|0|0|1|127.132288546135|37.4753528139164
강남NC점|서울특별시 서초구 잠원로 69 |02-595-9042|0|1|0|1|0|0|127.006970780391|37.5102605018374
국제점|서울특별시 용산구 한강대로 92 |02-794-8211|1|1|0|0|0|0|126.96752270323|37.5281759339792
방배점|서울특별시 서초구 방배로 127 (방배동 925-3) | 070-7462-6795|1|1|0|0|0|0|126.994860973768|37.4852579365619
녹번대성GS점|서울특별시 은평구 통일로 642 |070-7462-6801|1|1|0|0|0|1|126.935207500802|37.6040033229848
서울대입구역점|서울특별시 관악구 남부순환로 1796 |070-7462-6868|1|1|0|0|0|0|126.949595277943|37.4813226832698
가양역점|서울특별시 강서구 양천로 476 |070-7462-6886|1|1|0|0|0|0|126.853271958466|37.5616001805127
신촌1점|서울특별시 서대문구 신촌로 121 |070-7438-6531|1|1|0|0|0|0|126.939295914138|37.5562057965146
망우점|서울특별시 중랑구 망우로 400 |070-7438-6513|1|1|0|0|0|0|127.096589961709|37.5987572807336
구의점|서울특별시 광진구 아차산로 466 |070-7438-6504|1|1|0|0|0|0|127.093899018471|37.539749401091
신정네거리역점|서울특별시 양천구 중앙로 275 |070-7438-6521|1|1|1|1|0|0|126.852226262711|37.520781006605
강동구청점|서울특별시 강동구 성내로 22 |070-7462-6822|1|1|0|0|0|0|127.122830427749|37.5295892118638
건대입구역점|서울특별시 광진구 아차산로 229 1층 |070-7462-6823|1|1|1|1|0|0|127.068990676571|37.540809126931
노원역점|서울특별시 노원구 노해로 456 |070-7462-6806|1|1|0|0|0|0|127.058798321497|37.6535872870243
회현역점|서울특별시 중구 퇴계로 52 티마크그랜드호텔 명동 1층 |070-7462-6807|1|1|0|0|0|0|126.978544421858|37.5584186963798
염창역점|서울특별시 양천구 공항대로 630 |070-7462-6819|1|1|0|0|0|0|126.874714381046|37.5465353390135
부산태화점|부산광역시 부산진구 서전로10번길 64 |051-818-9836|1|1|1|1|0|0|129.0597335255|35.1550921423824
부산대연GS점|부산광역시 남구 수영로 288 |051-626-0332|1|1|1|1|0|1|129.097980849785|35.1361430454957
부산화명점|부산광역시 북구 화명대로 44 |070-7462-6865|1|1|0|0|0|0|129.012987715947|35.2343574517192
부산용호분포SK점|부산광역시 남구 용호로 116 |051-624-0332|1|1|0|0|0|1|129.111948559821|35.1221176029821
부산센텀오일뱅크점|부산광역시 해운대구 해운대로 179 |070-7438-8229|1|1|0|1|0|1|129.123555955914|35.1818828522176
부산연산RFS점|부산광역시 연제구 중앙대로 1087 |051-868-0332|1|1|0|0|0|0|129.080394679649|35.1850163208968
부산금정오일뱅크점|부산광역시 금정구 중앙대로 1664 |070-7438-8613|1|1|0|0|0|1|129.092053267885|35.2330520447642
해운대신도시1점|부산광역시 해운대구 좌동순환로 310 |051-701-0331|1|1|0|0|0|0|129.182530206311|35.1684762276954
부산양정점|부산광역시 부산진구 중앙대로 900 |070-7462-6737|1|1|0|0|0|0|129.069671556254|35.1704805161232
부산서부터미널점|부산광역시 사상구 사상로 201 |051-311-9713|1|1|1|1|0|0|128.98098582427|35.1631461622437
부산안락DT점|부산광역시 동래구 충렬대로 311 |051-556-3800|1|1|0|0|0|1|129.093160446225|35.1998210809746
부산정관DT점|부산광역시 기장군 정관읍 용수로 48 |070-7438-8624|1|1|0|0|0|1|129.17627439456|35.3272190192714
부산대점|부산광역시 금정구 금정로 66 |070-7462-6769|1|1|0|0|0|0|129.086622641852|35.2304868979592
부산광복롯데|부산광역시 중구 중앙대로 2 |070-7462-8575|0|1|0|0|0|0|129.036702283651|35.0983052585975
해운대비치점|부산광역시 해운대구 구남로 27 |051-731-0054|1|1|0|0|0|0|129.160891004603|35.161756049363
부산괴정역점|부산광역시 사하구 사하로 200 |051-292-2931|1|1|0|0|0|0|128.993705061139|35.0995766787608
부산망미SK점|부산광역시 연제구 과정로 120 부흥주유소 |051-751-3737|1|1|0|0|0|1|129.107462250933|35.1822674356657
해운대우동점|부산광역시 해운대구 해운대로452번길 16 |051-741-5200|1|1|0|0|0|0|129.14121065717|35.1632881234695
부산서면일번가점|부산광역시 부산진구 서면로 48 |070-7462-6812|1|1|0|0|0|0|129.058036362593|35.1549519363845
부산주례점|부산광역시 사상구 가야대로 298 |070-7438-6507|1|1|0|0|0|0|129.005149366834|35.1504020544563
상인SK점|대구광역시 달서구 월배로 200 |053-632-0889|1|1|0|0|0|1|128.535468987286|35.8179375087433
대구문화점|대구광역시 중구 동성로2길 95 |053-254-0323|1|1|0|0|0|0|128.596901118103|35.870189921818
대구율하점|대구광역시 동구 안심로22길 10 |053-959-1126|1|1|0|0|0|0|128.69609062839|35.8664322309717
대구만촌점|대구광역시 수성구 달구벌대로 2622 |053-741-0208|1|1|0|1|0|1|128.648714082432|35.8570415438506
대구삼성창조캠퍼스점|대구광역시 북구 호암로 51 |053-354-0332|1|1|0|0|0|0|128.595975391473|35.8836868233949
경대병원역SK점|대구광역시 중구 달구벌대로 2194 |053-253-0332|1|1|1|1|0|1|128.60319050865|35.8626626981932
대구지산점|대구광역시 수성구 지범로 159 |053-783-1557|1|1|0|0|0|0|128.637626053528|35.8227619697683
대구평리DT점|대구광역시 서구 국채보상로 298 |053-566-0332|1|1|0|0|0|1|128.563482779719|35.8715344409181
대구성서이마트점|대구광역시 달서구 이곡동로 24 |053-583-1332|0|0|0|0|0|0|128.510168417539|35.8533295916132
대구죽전네거리DT|대구광역시 달서구 달구벌대로 1536 |053-526-5959|1|1|0|0|0|1|128.535168263202|35.8495274141591
대구시지점|대구광역시 수성구 신매로19길 46 |053-791-0331|1|1|0|0|0|0|128.707241631198|35.8394867342289
대구산격DT점|대구광역시 북구 검단로 29 |070-7462-6745|1|1|0|0|0|1|128.615214059775|35.9005566969158
대구대명FS점|대구광역시 남구 대명로 89 |053-263-0233|1|1|0|0|0|0|128.56754357345|35.8397496300296
대구중앙로점|대구광역시 중구 중앙대로 398 |070-7462-6757|1|1|0|0|0|0|128.593975345918|35.8685360796545
대구이시아폴리스점|대구광역시 동구 팔공로 49길 51 |053-986-7733|1|1|0|0|0|0|128.635909630552|35.9206686509188
반야월이마트|대구광역시 동구 안심로 389-2 |053-965-0334|1|1|0|0|0|0|128.727433746817|35.8708526747902
삼성라이온즈파크점|대구광역시 수성구 야구전설로 1 |070-7462-9972|0|0|0|0|0|0|128.681236372268|35.8411289243023
대구서재FS점|대구광역시 달성군 다사읍 서재로 66 |070-7462-6867|1|1|0|0|0|0|128.496670998308|35.869438000277
대구테크노폴리스점|대구광역시 달성군 현풍면 테크노중앙대로 243 |053-617-6777|1|1|0|0|0|0|128.457390532274|35.6921390334867
대구칠곡3지구점|대구광역시 북구 팔거천동로 224 |053-324-3322|1|1|0|0|0|0|128.558705932595|35.9438869156379
대구월촌역FS점|대구광역시 달서구 월배로 320 |070-7462-6880|1|1|0|0|0|0|128.546226709476|35.823933932827
삼산SK점|인천광역시 부평구 장제로 347 |032-506-3643|1|1|0|0|0|1|126.731839941907|37.5164879483002
인천작전점|인천광역시 계양구 계양대로 37 |032-555-0332|1|1|0|0|0|0|126.721995662938|37.5271157292285
인천연수점|인천광역시 연수구 용담로 111 |032-812-8858|1|1|0|0|0|0|126.677491194319|37.4153138721478
인천구월아시아드SK점|인천광역시 남동구 호구포로 725 |032-469-0332|1|1|0|0|0|1|126.718104062076|37.4471731943937
인천송도DT점|인천광역시 연수구 송도과학로 13 |032-818-0332|1|1|1|1|0|1|126.660672424939|37.383857422658
영종하늘도시DT점|인천광역시 중구 자연대로 55 |032-747-0340|1|1|0|1|0|1|126.558200850696|37.4893214870176
인천계양구청점|인천광역시 계양구 장제로 804 |032-552-0332|1|1|0|0|0|0|126.734960628885|37.5394836297326
인천청라점|인천광역시 서구 중봉대로 610 |032-561-1332|1|1|0|0|0|0|126.650290554481|37.5338943852652
인천공항교통센터1점|인천광역시 중구 공항로 271 |070-7438-8626|0|0|0|1|0|0|126.452346738588|37.4476109663729
인천검단점|인천광역시 서구 검단로 470 |070-7462-6724|1|1|0|0|0|0|126.656781764916|37.6015089708071
인천만수역점|인천광역시 남동구 구월로 376 |070-7462-6746|1|1|0|0|0|0|126.7323051171|37.4547130758915
부평시장역점|인천광역시 부평구 부평대로 90 |070-7462-6765|1|1|1|1|0|0|126.722454664272|37.499555989099
인천공항1점|인천광역시 중구 공항로 424번길 47 |032-743-6272|0|0|0|0|0|0|126.461333677371|37.4403944092737
인천논현점|인천광역시 남동구 논고개로 61 |032-431-0332 |1|1|0|0|0|0|126.727520375664|37.3975373516636
인천구월점|인천광역시 남동구 예술로 138 |070-7462-8793|1|1|0|0|0|0|126.701006353999|37.4462417896974
인천완정역점|인천광역시 서구 원당대로 651 |070-7462-6858|1|1|0|0|0|0|126.673771066658|37.5940986908703
문학야구장점|인천광역시 남구 매소홀로 618 |032-424-0332|0|0|0|0|0|0|126.686460617327|37.4365451636913
송도현대아울렛점|인천광역시 연수구 송도국제대로 123 |070-7462-9975|0|0|0|0|0|0|126.657917047216|37.3816291013573
인천송도센트럴파크점|인천광역시 연수구 센트럴로 194B동 1층 118호, 119호, 120호, 134호|032-832-8531|1|1|0|0|0|0|126.641874180513|37.3937862653635
인천연수HP점|인천광역시 연수구 청능대로 210, 지하1층(동춘동, 홈플러스연수점) |032-815-2176|0|0|0|0|0|0|126.683622060373|37.4059981630337
인천주안점|인천광역시 미추홀구 주안로 86 |070-7462-6870|1|1|1|1|0|0|126.67922171474|37.4638502206899
인천서창SK점|인천광역시 남동구 서창동 728 |070-7438-6520|1|1|0|0|0|1|126.756670268812|37.4246463244163
광주주월에스오일점|광주광역시 남구 회재로 1190 |070-7438-8609|1|1|0|0|0|1|126.891756456766|35.1319353659368
광주일곡점|광주광역시 북구 설죽로 495 |062-573-0305|1|1|0|0|0|0|126.898078628055|35.2033537306422
호남대점|광주광역시 광산구 어등대로 418-1 |062-946-7700|1|1|0|0|0|0|126.769608428481|35.1488353074168
광주수완점|광주광역시 광산구 장신로 142 |062-953-0233|1|1|0|0|0|0|126.825607060443|35.1904287506985
광주수완DT점|광주광역시 광산구 임방울대로 493 |070-7462-6758|1|1|0|0|0|1|126.819225777765|35.2035321813469
전남대후문점|광주광역시 북구 우치로 76 |062-251-0332|1|1|1|1|0|0|126.912952297771|35.1741875736968
광주상무점|광주광역시 서구 치평로 106 |062-381-0331|1|1|0|0|0|0|126.847782227383|35.1567863156523
광주봉선점|광주광역시 남구 봉선로 180 |062-671-0331|1|1|0|0|0|0|126.914822396568|35.1228410702042
광주첨단2지구점|광주광역시 북구 첨단연신로91번길 10 |062-574-2457|1|1|0|0|0|0|126.863266801363|35.2065518542561
광주충장점|광주광역시 동구 충장로 안길 38 |062-225-0298|1|1|0|0|0|0|126.917010832509|35.147069424446
광주터미널점|광주광역시 서구 무진대로 904 |062-363-0332|1|1|0|0|0|0|126.879873116288|35.1605756425809
광주월계점|광주광역시 광산구 첨단중앙로 104 |062-973-5599|1|1|0|0|0|0|126.843331859624|35.2146214730841
대전용문역점|대전광역시 서구 계룡로 630 |070-7462-6864|1|1|0|0|0|0|127.391923837398|36.3390091103489
대전반석DT점|대전광역시 유성구 북유성대로 288 |042-825-0410|1|1|0|1|0|1|127.316216925256|36.3907845559861
대전용두DT점|대전광역시 중구 계룡로 853 |042-221-0332|1|1|0|0|0|1|127.409922559442|36.3251029602163
대전월평점|대전광역시 서구 월평북로 81 |070-7462-6717|1|1|0|0|0|0|127.37731773784|36.3624441315679
대전도안점|대전광역시 서구 동서대로 682 |042-825-0282|1|1|0|0|0|0|127.338633146752|36.331814949449
대전유성온천역점|대전광역시 유성구 대학로 8 |070-7462-6759|1|1|0|0|0|0|127.342174696061|36.3542929289483
대전관저점|대전광역시 서구 구봉로 147번길 68-12 |070-7462-6766|1|1|0|0|0|0|127.33897270155|36.2992967473195
대전터미널DT점|대전광역시 동구 동서대로 1664 |042-624-0332|1|1|0|1|0|1|127.434913375124|36.3481201434472
대전관평점|대전광역시 유성구 테크노4로 105 |042-934-0113|1|1|0|0|0|0|127.389759635176|36.4252923002614
대전시청점|대전광역시 서구 문예로 35 |042-489-0331|1|1|0|1|0|0|127.389886832965|36.3498561941267
대전노은역점|대전광역시 유성구 은구비남로33번길 61 |070-7462-6875|1|1|0|0|0|0|127.319129585173|36.3751164258925
대전버드내마을오일뱅크점|대전광역시 중구 계백로 1520 |070-7462-6772|1|1|0|0|0|1|127.388973635483|36.3159971621366
대전둔산1점|대전광역시 서구 대덕대로 193 |070-7462-6805|1|1|1|1|0|0|127.377460683541|36.3505360156304
대전현대아울렛점|대전광역시 유성구 테크노중앙로 123,지상3층3202-2호 |042-332-2811|0|0|0|0|0|0|127.398516767788|36.4234369155218
울산동구오일뱅크점|울산광역시 동구 방어진순환도로 1025 |052-232-0331|1|1|0|0|0|1|129.432238209767|35.5326028377429
울산무거점|울산광역시 남구 대학로 157 |052-249-0332|1|1|0|0|0|0|129.262414392765|35.5486923785419
울산우정SK점|울산광역시 중구 북부순환도로 323 |052-246-0332|1|1|0|1|0|1|129.296781480969|35.5595947130607
삼산현대점|울산광역시 남구 삼산로 261 |070-7462-8594|0|0|0|0|0|0|129.335811485046|35.5395698929406
울산신정FS점|울산광역시 남구 봉월로 97 |052-268-5888|1|1|0|0|0|0|129.305389450203|35.5412416616763
울산북구청DT점|울산광역시 북구 안기번득길 23 |070-7462-6874|1|1|0|0|0|1|129.358528217898|35.5863325578639
울산성남점|울산광역시 중구 만남의거리 15 |070-7438-6529|1|1|0|0|0|0|129.320799616168|35.5543097302118
울산옥동점|울산광역시 남구 문수로 326 |070-7438-6558|1|1|0|0|0|0|129.289003720558|35.5350063466309
충남대병원DT점|세종특별자치시 보듬5로 6 |044-862-7676|1|1|0|0|0|1|127.258386119726|36.5167264903234
세종행복새롬점|세종특별자치시 어울로 77세종 |044-864-0894|1|1|0|0|0|1|127.253939854427|36.481958184189
세종반곡점|세종특별자치시 한누리대로 1948 |070-8848-3955|1|1|0|0|0|0|127.302849080804|36.4905684476656
세종고운점|세종특별자치시 보듬3로 154 |070-7438-6515|1|1|0|0|0|0|127.242654324251|36.5122578162982
분당상록점|경기도 성남시 분당구 정자로 88 |031-716-3737|1|1|1|1|0|0|127.114438686502|37.3631668687279
화성시청점|경기도 화성시 남양읍 시청로 113 |070-7462-6836|1|1|0|0|0|0|126.826078132416|37.2008885449411
배곧아브뉴프랑점|경기도 시흥시 서울대학로 264번길 35 |070-7462-6841|1|1|0|0|0|0|126.728468295924|37.3677103184992
송죽DT점|경기도 수원시 장안구 경수대로 992 |031-241-2759|1|1|0|0|0|1|127.003434463045|37.3054725506799
죽전DT점|경기도 용인시 수지구 용구대로 2751 |031-272-0331|1|1|0|0|0|1|127.108479223996|37.331329037016
판교유스페이스|경기도 성남시 분당구 대왕판교로 660 |070-7462-8658|1|1|0|0|0|0|127.106812648944|37.4004659332759
수지GS점|경기도 용인시 수지구 신수로 781 |031-276-0335|1|1|0|0|0|1|127.102353485863|37.3393343876975
시흥정왕점|경기도 시흥시 정왕동 1738-2 |070-7462-6849|1|1|1|1|0|0|126.737841685446|37.3447050360607
분당야탑점|경기도 성남시 분당구 성남대로916번길 11 |031-706-0334|1|1|0|0|0|0|127.129841388588|37.4108569664981
